p,eps,L,mu,c,episode,convergence
1.0,0.0,1.0,0.75,2*(1-eps),"[0.1695837227176075, 0.12622672977666125, 0.09611983949272021, 0.07465988203940564, 0.059024218454610845, 0.04741303318811168, 0.03864280235345516, 0.031924185670664414, 0.026709897837802837, 0.022619276695675747, 0.019374315274843963, 0.01676883935706663, 0.014650822858981267, 0.012908745550681985, 0.011460122314809258, 0.010243256693543996, 0.0092114780619619, 0.008329191673680108, 0.007568869427876028]",True
1.0,0.0,1.0,0.75,1.5*(1-eps),"[0.1695837227176075, 0.12622672977666125, 0.09611983949272021, 0.07465988203940564, 0.059024218454610845, 0.04741303318811168, 0.03864280235345516, 0.031924185670664414, 0.026709897837802837, 0.022619276695675747, 0.019374315274843963, 0.01676883935706663, 0.014650822858981267, 0.012908745550681985, 0.011460122314809258, 0.010243256693543996, 0.0092114780619619, 0.008329191673680108, 0.007568869427876028]",True
1.0,0.0,1.0,0.75,1*(1-eps),"[0.1695837227176075, 0.12622672977666125, 0.09611983949272021, 0.07465988203940564, 0.059024218454610845, 0.04741303318811168, 0.03864280235345516, 0.031924185670664414, 0.026709897837802837, 0.022619276695675747, 0.019374315274843963, 0.01676883935706663, 0.014650822858981267, 0.012908745550681985, 0.011460122314809258, 0.010243256693543996, 0.0092114780619619, 0.008329191673680108, 0.007568869427876028]",True
1.0,0.0,1.0,0.75,0.5*(1-eps),"[0.2942383875880088, 0.25121103185152643, 0.21605446285403593, 0.1870379403441796, 0.16287936269698572, 0.14261093745104236, 0.12549014316983154, 0.11093935677919767, 0.09850376689172444, 0.08782149213482351, 0.078601843376936, 0.07061081846477799, 0.06366035421924351, 0.057584943444580275, 0.05226277410918353, 0.04757871703373747, 0.043447563854820084, 0.0397921041827067, 0.03654801368127493]",True
1.0,0.0,1.0,0.75,0.25*(1-eps),"[0.38381640169062253, 0.35324913217147896, 0.3258470883272313, 0.301198170836181, 0.27895618624346286, 0.25882830688566477, 0.2405651812488137, 0.22395341993041604, 0.20880913685445665, 0.19497333477592196, 0.18230787012089034, 0.17069198494481144, 0.16001999870462943, 0.15019892582800795, 0.14114666999497646, 0.13279065566765647, 0.12506637613877797, 0.11791728080086818, 0.11129212508828748]",True
1.0,0.0,1.5,0.0,2*(1-eps),"[0.363961016139342, 0.3106601450387977, 0.27097656634122175, 0.24028293094137704, 0.21583515575302398, 0.19590288609429715, 0.17934086313741102, 0.16536089357489778, 0.15340286455723273, 0.143057675847101, 0.1340196532381317, 0.1260557680740582, 0.11898525177488833, 0.11266582854487718, 0.10698379302215374, 0.10184736119745619, 0.09718153668539121, 0.09292450708958429, 0.08902477414356952]",True
1.0,0.0,1.5,0.0,1.5*(1-eps),"[0.363961016139342, 0.3106601450387977, 0.27097656634122175, 0.24028293094137704, 0.21583515575302398, 0.19590288609429715, 0.17934086313741102, 0.16536089357489778, 0.15340286455723273, 0.143057675847101, 0.1340196532381317, 0.1260557680740582, 0.11898525177488833, 0.11266582854487718, 0.10698379302215374, 0.10184736119745619, 0.09718153668539121, 0.09292450708958429, 0.08902477414356952]",True
1.0,0.0,1.5,0.0,1*(1-eps),"[0.363961016139342, 0.3106601450387977, 0.27097656634122175, 0.24028293094137704, 0.21583515575302398, 0.19590288609429715, 0.17934086313741102, 0.16536089357489778, 0.15340286455723273, 0.143057675847101, 0.1340196532381317, 0.1260557680740582, 0.11898525177488833, 0.11266582854487718, 0.10698379302215374, 0.10184736119745619, 0.09718153668539121, 0.09292450708958429, 0.08902477414356952]",True
1.0,0.0,1.5,0.0,0.5*(1-eps),"[0.4900903214356888, 0.43933981385197685, 0.3981137925009671, 0.36396100046308183, 0.33520496329584304, 0.31066015819677006, 0.2894646155861291, 0.27097657110168166, 0.2547083991088109, 0.2402828937392148, 0.22740384337863595, 0.2158351624483482, 0.20538658189846418, 0.19590290622229226, 0.18725638786278256, 0.17934086416505762, 0.17206739526929316, 0.16536090387701027, 0.15915753132335034]",True
1.0,0.0,1.5,0.0,0.25*(1-eps),"[0.5928080080919012, 0.5540970737192966, 0.5201319479079698, 0.4900903038167775, 0.46332946049001206, 0.43933982578049235, 0.41771207299760266, 0.39811375865108795, 0.3802720046580441, 0.36396096299195485, 0.3489916351596933, 0.3352049886716881, 0.3224661916028066, 0.31066017177077043, 0.29968802866889704, 0.28946461596101497, 0.27991564854011564, 0.2709764686745359, 0.26259076292916217]",True
1.0,0.0,1.5,0.75,2*(1-eps),"[0.29397946710162376, 0.2310134999835255, 0.18533586189815443, 0.1511783120203467, 0.12502590687978135, 0.10461979629291941, 0.08844639151512809, 0.07545698711087721, 0.06490483313883144, 0.05625744141289854, 0.04912133925784197, 0.04319566711921345, 0.038250072960613, 0.034104811923948576, 0.030612220605055952, 0.02764425915402623, 0.025099894752821834, 0.022902167786211708, 0.02099035210448759]",True
1.0,0.0,1.5,0.75,1.5*(1-eps),"[0.29397946710162376, 0.2310134999835255, 0.18533586189815443, 0.1511783120203467, 0.12502590687978135, 0.10461979629291941, 0.08844639151512809, 0.07545698711087721, 0.06490483313883144, 0.05625744141289854, 0.04912133925784197, 0.04319566711921345, 0.038250072960613, 0.034104811923948576, 0.030612220605055952, 0.02764425915402623, 0.025099894752821834, 0.022902167786211708, 0.02099035210448759]",True
1.0,0.0,1.5,0.75,1*(1-eps),"[0.29397946710162376, 0.2310134999835255, 0.18533586189815443, 0.1511783120203467, 0.12502590687978135, 0.10461979629291941, 0.08844639151512809, 0.07545698711087721, 0.06490483313883144, 0.05625744141289854, 0.04912133925784197, 0.04319566711921345, 0.038250072960613, 0.034104811923948576, 0.030612220605055952, 0.02764425915402623, 0.025099894752821834, 0.022902167786211708, 0.02099035210448759]",True
1.0,0.0,1.5,0.75,0.5*(1-eps),"[0.4589023765965634, 0.3990483301690637, 0.34998511390585657, 0.30919238661457066, 0.2748698219834991, 0.245697369905525, 0.22068532950988456, 0.19907727524265237, 0.18028526022057906, 0.1638457313771062, 0.14938830810688475, 0.1366137570386565, 0.12527771914922997, 0.11517891964152527, 0.10615236075181894, 0.0980657289981739, 0.0907875053223549, 0.08422476730639043, 0.07829599520406615]",True
